Transcript stable ID	NCBI gene ID
ENSMUST00000082387	
ENSMUST00000082388	
ENSMUST00000082389	
ENSMUST00000082390	
ENSMUST00000082391	
ENSMUST00000082392	17716
ENSMUST00000082393	
ENSMUST00000082394	
ENSMUST00000082395	
ENSMUST00000082396	17717
ENSMUST00000082397	
ENSMUST00000082398	
ENSMUST00000082399	
ENSMUST00000082400	
ENSMUST00000082401	
ENSMUST00000082402	17708
ENSMUST00000082403	
ENSMUST00000082404	
ENSMUST00000082405	17709
ENSMUST00000082406	
ENSMUST00000082407	17706
ENSMUST00000082408	17705
ENSMUST00000082409	17710
ENSMUST00000082410	
ENSMUST00000082411	17718
ENSMUST00000082412	
ENSMUST00000084013	17720
ENSMUST00000082414	17719
ENSMUST00000082415	
ENSMUST00000082416	
ENSMUST00000082417	
ENSMUST00000082418	17721
ENSMUST00000082419	17722
ENSMUST00000082420	
ENSMUST00000082421	17711
ENSMUST00000082422	
ENSMUST00000082423	
ENSMUST00000191660	
ENSMUST00000225374	
ENSMUST00000203723	
ENSMUST00000190031	
ENSMUST00000190300	
ENSMUST00000186892	
ENSMUST00000187851	
ENSMUST00000189215	
ENSMUST00000189928	
ENSMUST00000190435	
ENSMUST00000105209	435949
ENSMUST00000204039	
ENSMUST00000180788	666706
ENSMUST00000179411	666706
ENSMUST00000071873	20710
ENSMUST00000227900	
ENSMUST00000211844	
ENSMUST00000192883	
ENSMUST00000228307	12565
ENSMUST00000026432	12565
ENSMUST00000182943	
ENSMUST00000136988	
ENSMUST00000126387	
ENSMUST00000236104	
ENSMUST00000090986	80891
ENSMUST00000146512	80891
ENSMUST00000122263	
ENSMUST00000220876	
ENSMUST00000220438	
ENSMUST00000200967	
ENSMUST00000120072	
ENSMUST00000129574	433415
ENSMUST00000205748	100170401
ENSMUST00000206405	100170401
ENSMUST00000205291	100170401
ENSMUST00000163106	100170401
ENSMUST00000227693	
ENSMUST00000228094	
ENSMUST00000228400	
ENSMUST00000096794	
ENSMUST00000067597	
ENSMUST00000031314	11657
ENSMUST00000201737	11657
ENSMUST00000201356	11657
ENSMUST00000227628	
ENSMUST00000199972	
ENSMUST00000183387	74700
ENSMUST00000184444	74700
ENSMUST00000184759	74700
ENSMUST00000110078	84036
ENSMUST00000212086	84036
ENSMUST00000212611	84036
ENSMUST00000212243	84036
ENSMUST00000212509	84036
ENSMUST00000212084	84036
ENSMUST00000212414	84036
ENSMUST00000110081	84036
ENSMUST00000202922	
ENSMUST00000219548	
ENSMUST00000213783	
ENSMUST00000219599	
ENSMUST00000224369	
ENSMUST00000224107	69256
ENSMUST00000225682	69256
ENSMUST00000060762	69256
ENSMUST00000223595	69256
ENSMUST00000071782	53324
ENSMUST00000094018	381925
ENSMUST00000206551	381925
ENSMUST00000206918	381925
ENSMUST00000205630	381925
ENSMUST00000205896	381925
ENSMUST00000218642	
ENSMUST00000218473	
ENSMUST00000179160	
ENSMUST00000031429	18438
ENSMUST00000195963	18438
ENSMUST00000152337	18438
ENSMUST00000198560	18438
ENSMUST00000081554	18438
ENSMUST00000139631	18438
ENSMUST00000142664	18438
ENSMUST00000132062	18438
ENSMUST00000139712	18438
ENSMUST00000019051	11685
ENSMUST00000123752	11685
ENSMUST00000139899	11685
ENSMUST00000149060	11685
ENSMUST00000227663	74159
ENSMUST00000028121	74159
ENSMUST00000227809	74159
ENSMUST00000144088	74159
ENSMUST00000226571	74159
ENSMUST00000228778	74159
ENSMUST00000114529	74159
ENSMUST00000114526	74159
ENSMUST00000228050	74159
ENSMUST00000228891	74159
ENSMUST00000114523	74159
ENSMUST00000155602	74159
ENSMUST00000228856	74159
ENSMUST00000226938	74159
ENSMUST00000227816	74159
ENSMUST00000226252	74159
ENSMUST00000227489	74159
ENSMUST00000227612	74159
