	L1_2b12iprfp	L1_2b12totrfp	L1_4a2iprfp	L1_4a2totrfp	L1_5a1totrfp	L2_2c3iprfp	L2_2c3totrfp	L2_4a3iprfp	L2_4a3totrfp	L2_5a2totrfp	L3_2c4iprfp	L3_2c4totrfp	L3_4b7iprfp	L3_4b7totrfp	L3_5a3totrfp
ENSMUST00000000001	1102.0	1232.0	837.0	1237.0	1182.0	810.0	1153.0	661.0	1331.0	1038.0	612.0	907.0	559.0	951.0	985.0
ENSMUST00000000010	3.0	2.0	2.0	3.0	1.0	2.0	1.0	3.0	2.0	1.0	1.0	0.0	0.0	2.0	0.0
ENSMUST00000000028	699.0	922.0	605.0	920.0	803.0	538.0	738.0	509.0	1051.0	816.0	454.0	739.0	467.0	857.0	679.0
ENSMUST00000000049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUST00000000058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ENSMUST00000000080	374.0	347.0	283.0	371.0	311.0	207.0	243.0	229.0	446.0	241.0	162.0	204.0	127.0	200.0	209.0
ENSMUST00000000087	68.0	64.0	41.0	79.0	66.0	46.0	39.0	24.0	74.0	51.0	20.0	34.0	34.0	54.0	60.0
ENSMUST00000000090	2585.0	2655.0	2244.0	2605.0	2431.0	2401.0	2512.0	1835.0	2764.0	2681.0	1996.0	2408.0	1874.0	2468.0	2431.0
ENSMUST00000000095	0.0	1.0	0.0	3.0	0.0	0.0	1.0	1.0	2.0	2.0	0.0	0.0	0.0	4.0	0.0
ENSMUST00000000122	156.0	177.0	107.0	133.0	113.0	103.0	111.0	66.0	138.0	132.0	81.0	75.0	60.0	98.0	145.0
ENSMUST00000000127	4.0	6.0	4.0	5.0	4.0	4.0	2.0	3.0	12.0	3.0	3.0	1.0	3.0	4.0	3.0
ENSMUST00000000129	257.0	322.0	206.0	291.0	292.0	273.0	346.0	185.0	364.0	452.0	236.0	337.0	198.0	350.0	326.0
ENSMUST00000000137	3196.0	3682.0	2793.0	3714.0	3419.0	2604.0	3313.0	2174.0	3816.0	3411.0	2078.0	2864.0	1908.0	3021.0	3175.0
ENSMUST00000000153	81.0	85.0	64.0	96.0	113.0	61.0	96.0	57.0	91.0	98.0	54.0	83.0	39.0	105.0	104.0
ENSMUST00000000161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ENSMUST00000000171	3.0	4.0	4.0	8.0	5.0	5.0	9.0	4.0	5.0	4.0	7.0	5.0	9.0	6.0	4.0
ENSMUST00000000175	775.0	825.0	638.0	833.0	778.0	617.0	661.0	483.0	876.0	723.0	471.0	574.0	415.0	629.0	682.0
ENSMUST00000000186	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	1.0
ENSMUST00000000187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ENSMUST00000000188	24.0	36.0	37.0	36.0	51.0	197.0	236.0	15.0	35.0	304.0	183.0	218.0	150.0	261.0	466.0
ENSMUST00000000199	30.0	46.0	33.0	42.0	43.0	14.0	22.0	27.0	26.0	26.0	17.0	15.0	26.0	21.0	21.0
ENSMUST00000000201	8.0	10.0	7.0	7.0	8.0	9.0	20.0	4.0	7.0	20.0	8.0	14.0	8.0	13.0	17.0
ENSMUST00000000206	1.0	2.0	1.0	0.0	2.0	0.0	0.0	2.0	2.0	1.0	1.0	2.0	0.0	1.0	3.0
ENSMUST00000000208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ENSMUST00000000219	1.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0
ENSMUST00000000221	1.0	3.0	0.0	1.0	0.0	0.0	0.0	9.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
ENSMUST00000000254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ENSMUST00000000260	87.0	105.0	61.0	89.0	105.0	68.0	75.0	49.0	93.0	117.0	52.0	86.0	60.0	126.0	95.0
ENSMUST00000000266	0.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ENSMUST00000000275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUST00000000287	2586.0	2774.0	1847.0	2382.0	2581.0	1988.0	2316.0	1547.0	2758.0	2795.0	1490.0	1950.0	1508.0	2264.0	1468.0
ENSMUST00000000291	284.0	271.0	242.0	256.0	276.0	235.0	259.0	177.0	342.0	360.0	192.0	250.0	207.0	259.0	308.0
ENSMUST00000000299	1.0	1.0	3.0	2.0	3.0	4.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	3.0	0.0
ENSMUST00000000304	271.0	263.0	230.0	272.0	226.0	161.0	217.0	161.0	297.0	205.0	140.0	190.0	133.0	219.0	192.0
ENSMUST00000000305	100.0	82.0	101.0	125.0	99.0	63.0	105.0	73.0	99.0	103.0	57.0	59.0	65.0	86.0	86.0
ENSMUST00000000310	15.0	22.0	17.0	20.0	11.0	28.0	21.0	11.0	17.0	21.0	12.0	16.0	10.0	16.0	10.0
ENSMUST00000000312	7007.0	7892.0	4793.0	6237.0	6888.0	5458.0	6643.0	4841.0	8546.0	7864.0	4136.0	5798.0	3434.0	5399.0	7413.0
ENSMUST00000000314	39.0	40.0	29.0	37.0	30.0	8.0	13.0	28.0	34.0	14.0	8.0	13.0	9.0	22.0	7.0
ENSMUST00000000326	42.0	57.0	44.0	58.0	56.0	16.0	29.0	16.0	43.0	24.0	18.0	20.0	7.0	20.0	23.0
ENSMUST00000000329	27.0	54.0	34.0	46.0	54.0	19.0	28.0	19.0	53.0	29.0	12.0	26.0	18.0	31.0	24.0
ENSMUST00000000348	319.0	419.0	275.0	387.0	373.0	286.0	342.0	198.0	450.0	379.0	178.0	319.0	184.0	309.0	315.0
ENSMUST00000000349	346.0	491.0	324.0	505.0	536.0	311.0	507.0	262.0	553.0	481.0	235.0	375.0	218.0	454.0	489.0
ENSMUST00000000356	367.0	334.0	317.0	343.0	315.0	309.0	286.0	239.0	342.0	323.0	232.0	273.0	197.0	267.0	278.0
ENSMUST00000000365	247.0	204.0	175.0	224.0	184.0	231.0	281.0	148.0	239.0	307.0	238.0	296.0	168.0	247.0	260.0
ENSMUST00000000369	4.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
ENSMUST00000000384	61.0	120.0	65.0	146.0	138.0	40.0	114.0	46.0	149.0	100.0	33.0	70.0	36.0	92.0	106.0
ENSMUST00000000388	44.0	29.0	24.0	49.0	47.0	41.0	37.0	25.0	45.0	49.0	13.0	40.0	25.0	38.0	47.0
ENSMUST00000000395	2.0	4.0	3.0	5.0	2.0	5.0	2.0	4.0	3.0	0.0	1.0	1.0	1.0	0.0	1.0
ENSMUST00000000412	29.0	33.0	13.0	21.0	15.0	19.0	19.0	14.0	13.0	17.0	9.0	11.0	14.0	21.0	19.0
ENSMUST00000000421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUST00000000430	222.0	328.0	192.0	304.0	338.0	168.0	271.0	171.0	385.0	351.0	146.0	214.0	141.0	317.0	279.0
ENSMUST00000000445	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUST00000000449	329.0	336.0	244.0	328.0	289.0	264.0	292.0	203.0	296.0	306.0	200.0	226.0	179.0	241.0	248.0
ENSMUST00000000450	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	2.0
ENSMUST00000000451	362.0	508.0	292.0	572.0	542.0	320.0	504.0	217.0	571.0	545.0	274.0	443.0	204.0	443.0	483.0
ENSMUST00000000466	371.0	346.0	310.0	357.0	278.0	231.0	208.0	243.0	483.0	286.0	177.0	230.0	172.0	252.0	160.0
ENSMUST00000000476	47.0	63.0	65.0	71.0	70.0	9.0	18.0	35.0	53.0	20.0	9.0	14.0	17.0	28.0	13.0
ENSMUST00000000500	22.0	13.0	11.0	14.0	17.0	22.0	22.0	17.0	28.0	28.0	9.0	18.0	5.0	10.0	28.0
ENSMUST00000000505	6072.0	7745.0	5290.0	7291.0	6419.0	5513.0	7484.0	4274.0	7833.0	7798.0	4488.0	6912.0	3859.0	6411.0	6980.0
ENSMUST00000000542	9.0	11.0	10.0	9.0	15.0	0.0	0.0	4.0	9.0	7.0	1.0	2.0	3.0	3.0	2.0
ENSMUST00000000543	169.0	203.0	176.0	227.0	150.0	106.0	120.0	80.0	184.0	115.0	79.0	124.0	103.0	166.0	105.0
ENSMUST00000000544	280.0	359.0	207.0	303.0	340.0	135.0	207.0	188.0	373.0	208.0	105.0	165.0	136.0	214.0	216.0
ENSMUST00000000573	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
ENSMUST00000000574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUST00000000579	0.0	2.0	8.0	2.0	1.0	1.0	1.0	1.0	5.0	0.0	1.0	3.0	0.0	0.0	1.0
ENSMUST00000000594	240.0	217.0	193.0	227.0	208.0	231.0	273.0	138.0	262.0	328.0	213.0	259.0	192.0	254.0	256.0
ENSMUST00000000608	238.0	242.0	183.0	181.0	249.0	159.0	147.0	154.0	262.0	243.0	118.0	141.0	122.0	173.0	208.0
ENSMUST00000000619	60.0	84.0	40.0	50.0	58.0	24.0	36.0	26.0	57.0	27.0	22.0	31.0	9.0	26.0	35.0
ENSMUST00000000641	9.0	21.0	17.0	10.0	15.0	9.0	16.0	18.0	20.0	27.0	6.0	17.0	8.0	21.0	17.0
ENSMUST00000000642	1603.0	2308.0	1609.0	2477.0	2481.0	1429.0	2189.0	1086.0	2292.0	2386.0	1067.0	1837.0	963.0	1746.0	1939.0
ENSMUST00000000687	4.0	7.0	4.0	1.0	3.0	1.0	1.0	2.0	3.0	4.0	2.0	4.0	1.0	2.0	1.0
ENSMUST00000000696	1.0	1.0	0.0	0.0	0.0	0.0	4.0	1.0	2.0	1.0	0.0	2.0	1.0	1.0	0.0
ENSMUST00000000707	2.0	5.0	0.0	2.0	2.0	0.0	2.0	0.0	5.0	7.0	3.0	1.0	1.0	6.0	2.0
ENSMUST00000000724	336.0	402.0	316.0	424.0	345.0	223.0	362.0	199.0	412.0	380.0	176.0	295.0	185.0	360.0	323.0
ENSMUST00000000727	111.0	150.0	122.0	159.0	162.0	92.0	145.0	90.0	162.0	158.0	78.0	148.0	72.0	155.0	138.0
ENSMUST00000000755	14.0	28.0	16.0	19.0	12.0	16.0	17.0	10.0	20.0	23.0	9.0	6.0	10.0	18.0	25.0
ENSMUST00000000756	7620.0	7915.0	7111.0	8135.0	7623.0	7194.0	7536.0	5868.0	8219.0	8019.0	6089.0	7200.0	5253.0	6873.0	7484.0
ENSMUST00000000759	314.0	312.0	220.0	290.0	246.0	224.0	255.0	186.0	291.0	266.0	183.0	237.0	166.0	247.0	233.0
ENSMUST00000000769	70.0	96.0	40.0	71.0	78.0	50.0	90.0	52.0	100.0	103.0	37.0	54.0	36.0	79.0	113.0
ENSMUST00000000776	167.0	282.0	149.0	299.0	256.0	133.0	219.0	111.0	314.0	213.0	105.0	213.0	76.0	197.0	189.0
ENSMUST00000000793	283.0	289.0	256.0	313.0	277.0	206.0	233.0	196.0	324.0	249.0	193.0	168.0	130.0	190.0	229.0
ENSMUST00000000804	5967.0	6345.0	5277.0	6240.0	5778.0	5314.0	5926.0	4287.0	6642.0	6210.0	4125.0	5283.0	3746.0	5418.0	5757.0
ENSMUST00000000808	4.0	8.0	5.0	2.0	8.0	2.0	4.0	1.0	6.0	3.0	1.0	2.0	1.0	3.0	2.0
ENSMUST00000000809	8.0	10.0	6.0	8.0	6.0	9.0	12.0	10.0	11.0	22.0	7.0	11.0	7.0	11.0	10.0
ENSMUST00000000811	4.0	7.0	7.0	8.0	3.0	2.0	3.0	3.0	10.0	2.0	1.0	1.0	5.0	3.0	1.0
ENSMUST00000000828	102.0	129.0	89.0	131.0	111.0	115.0	148.0	69.0	140.0	129.0	75.0	114.0	62.0	96.0	146.0
ENSMUST00000000834	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ENSMUST00000000895	51.0	57.0	37.0	61.0	23.0	41.0	38.0	34.0	48.0	46.0	25.0	42.0	12.0	39.0	49.0
ENSMUST00000000896	82.0	93.0	56.0	91.0	71.0	75.0	73.0	48.0	75.0	116.0	47.0	79.0	51.0	87.0	88.0
ENSMUST00000000901	132.0	153.0	91.0	126.0	108.0	85.0	117.0	100.0	152.0	122.0	86.0	111.0	76.0	107.0	130.0
ENSMUST00000000910	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ENSMUST00000000924	746.0	911.0	621.0	871.0	769.0	517.0	687.0	473.0	834.0	640.0	382.0	551.0	412.0	661.0	605.0
ENSMUST00000000925	1997.0	2069.0	1552.0	1983.0	1843.0	1723.0	1866.0	1258.0	2085.0	1838.0	1273.0	1725.0	1031.0	1645.0	1740.0
ENSMUST00000000926	4.0	2.0	1.0	4.0	2.0	5.0	3.0	3.0	3.0	2.0	2.0	2.0	0.0	4.0	2.0
ENSMUST00000000939	180.0	303.0	98.0	228.0	196.0	116.0	248.0	102.0	262.0	294.0	82.0	202.0	64.0	162.0	218.0
ENSMUST00000000940	257.0	322.0	200.0	274.0	248.0	249.0	313.0	142.0	292.0	310.0	180.0	252.0	130.0	225.0	273.0
ENSMUST00000000958	65.0	71.0	43.0	65.0	57.0	39.0	33.0	33.0	61.0	44.0	23.0	25.0	26.0	43.0	37.0
ENSMUST00000000964	10.0	11.0	11.0	13.0	8.0	3.0	5.0	2.0	8.0	3.0	3.0	6.0	3.0	8.0	5.0
ENSMUST00000000985	935.0	1253.0	773.0	1109.0	1054.0	800.0	1194.0	506.0	1131.0	1249.0	553.0	1018.0	565.0	1010.0	1175.0
ENSMUST00000001002	312.0	392.0	274.0	371.0	347.0	223.0	408.0	208.0	409.0	365.0	215.0	306.0	166.0	286.0	318.0
ENSMUST00000001008	0.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	0.0	1.0	0.0	0.0	2.0	3.0	3.0
