,Stromal cell (c34),Endothelial cell (c17),Principal cells of cortical collecting duct (c81),Dendritic cell (c33),Macrophage (c25),Osteoblast (c68),NK cell (c63),Macrophage (c27),Dendritic cell (c90),Smooth muscle cell (c53),Neutrophil (c12),Stromal cell (c30),Dendritic cell (c85),Stromal cell (c28),B cell (c72),Muscle cell (c49),Myocyte (c2),Monocyte (c26),T cell (c3),Mast cell (c83),Trophoblast stem cell (c9),MSC (Cultured) (c5),MEF (Cultured) (c93),Trophoblast progenitor cell (c50),T cell (c8),B cell (c24),Testicular cell (c7),Leydig cell (c71),Stromal cell (c32),Gastric mucosa cell (c69),Stomach epithelial cell (c16),Endocrine cell (c74),Epithelial cell (c46),Mast cell (c75),Neuron (c4),Erythroid progenitor (c35),Erythroblast (c20),Macrophage (c91),NK/T cell (c59),T cell (c15),Intestinal epithelial cell (c31),B cell (c56),Prostate gland cell (c10),Urothelium (c44),Placenta endodermal cell (c77),Spongiotrophoblast (c78),Myeloid progenitor cell (c38),Hepatocyte (c94),Erythroblast (c14),Myocyte (c51),Proliferating Myocyte (c1),Microglia (c66),Cycling cell (c55),Monocyte (c13),Endothelial cell (c62),Stromal cell (c45),Epithelial cell (c67),Myoblast (c42),Pancreatic acinar cell (c70),Stromal cell (c23),Luteal cell (c54),Cumulus cell (c40),Adipocyte (c43),Neutrophil (c64),Chondrocyte (c22),Osteoblast (c52),Chondrocyte (c11),Neutrophil (c87),Oligodendrocyte (c19),Astrocyte (c89),Proliferative neuron (c21),Cardiac muscle cell (c65),Cartilage cell (c95),Endothelial Cell (c48),Muscle cell (c88),Secretory alveoli cell (c18),Epithelial cell (c60),Alveolar type II cell (c36),Eosinophil (c82),Clara Cell (c79),Macrophage (c41),Hepatocyte (c92),Renal tubular cell (c57),Proximal tubule brush border cell (c37),Intercalated cells of collecting duct (c80),mESC (c6),Oligodendrocyte (c84)
Rpl10l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000225938662171994,0,0,0,0,0,1.16439977422115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481616744642711,0
Rpl36al,0.395629345820917,0.272772988870659,0.690785442960421,0.409074005206396,0.500859482962014,0.287863563533661,0.302893151829544,0.504616336846449,0.593415007656968,0.353583598283409,0.648824593128391,0.198751970864516,0.185237159696885,0.349547329511973,1.24677815740574,0.331999659487529,0.371962491925964,0.441815297484025,0.250942754113914,0.484514181357385,0.348623355731386,0.31712534192764,0.42224265331835,0.46163502487025,0.434176768552684,0.319521282601332,0.645472587898982,0.518017508539372,0.270860284605433,0.753605829215951,0.890216273204747,1.09844792682012,0.423980051819784,0.640377485675767,0.426589536565336,0.549082692504394,0.500374866932594,0.76127036992982,0.474596444246076,0.326881581913626,0.642931160982399,0.430389627284751,0.863533119155293,0.289808558693418,0.564525679996842,0.905016376486813,0.48357905730698,0.912519771261711,0.677375582205597,0.271662432966413,0.368135623800783,0.560122865660855,0.399849894537973,0.623474047269308,0.41805123807482,0.482181742767274,0.520833333333333,0.269764919141891,0.571614068763055,0.251518148656266,0.52485613256604,0.457007987387855,0.332098895002774,0.233705531030901,0.288455878024372,0.526253219734496,0.261864176486573,0.436769251444698,0.586943214144251,0.519987000324992,0.438365772400491,0.416913360963095,0.483045116413873,0.366654444851838,0.376162126896102,0.914396887159533,0.278425364683941,0.601300650325163,0.561030344423846,0.627500909421608,0.534524821139771,1.26015121814618,0.666712488830847,0.652053725324401,0.677869008974604,0.414487924250426,0.821767713659606
Rpl3l,0,0,0,0.000885441569710815,0.00134820856786545,0,0,0.00257895913209429,0,0,0.00216998191681736,0,0.00561324726354196,0,0,0,0,0.00815430918175214,0,0,0,0.000191154515929862,0,0.0013498100142405,0,0.000564525234277972,0.00182079714499008,0,0,0,0,0,0,0.00280867318278845,0,0.000232465153473494,0,0,0,0,0,0.00650462912772923,0,0,0,0,0,0,0,0,0,0,0,0.000498779237815447,0,0,0,0,0,0.00212700337130034,0,0,0,0.0227213710724487,0.000420489618111329,0.00158510005944125,0,0,0,0,0,0.007400828892836,0,0.00666644445185161,0.00101940955798402,0,0,0.00100050025012506,0.0195140989364816,0,0.0027411529289219,0,0.0103099869406832,0,0.0190949016612564,0.000371904822117924,0
Rpl7l1,0.0544912728820775,0.0426684004937343,0.0873054772699424,0.0389594290672759,0.0748255755165324,0.0380197159384081,0.0504821919715907,0.0532984887299486,0.0382848392036753,0.0413464691541083,0.078119349005425,0.0194310586040728,0.0617457198989615,0.0428563775646863,0.0239765030270335,0.0681024942538521,0.0579103280842818,0.0281694317187801,0.0209691890423956,0.0409973538071634,0.0817897957062617,0.0827699053976301,0.0715088364490755,0.0425190154485756,0.0897059439158439,0.0395167663994581,0.0172975728774057,0.0316691926617956,0.0386943263722048,0.0573938214303538,0.0448633111046309,0.0374896903351578,0.0617288964335318,0.056173463655769,0.0777599325596099,0.0474228913085928,0.053434071054888,0.0832639467110741,0.0401696049988842,0.0357476409777463,0.0658058953005514,0.0509529281672123,0.0388794532321103,0.0234720981421116,0.0394773202794994,0.0646440268919152,0.0600897053458377,0.109502372551405,0.0773829170792533,0.0388089189952018,0.0589849727107759,0.0451711988436173,0.0465844537325794,0.0581077812054995,0.0643155750884339,0.0794994988075075,0.0595978441127695,0.0271192246756398,0.0677468525941399,0.024460538769954,0.0370935311654995,0.0378182083282074,0.0329849918287179,0.0551804726045183,0.0420489618111329,0.0412126015454726,0.0388208347891146,0.0470366886171214,0.0648158150588744,0.16249593760156,0.107712732646978,0.0394710874284587,0.0483045116413873,0.0433318889370354,0.0458734301092807,0.0466926070038911,0.0266435755678412,0.048024012006003,0.0634208215435652,0.0545652964714442,0.0767522820098133,0.112013441612994,0.0652965839576603,0.0796773878825328,0.124116860798167,0.0758685837120564,0.0547845142439737
Rps27l,0.337732368383709,0.33677558961126,0.670873667442715,0.348863978466061,0.603997438403721,0.592021291040925,0.210632594088361,0.575107886457026,0.363705972434916,0.382098404596587,0.7124773960217,0.249827896338078,0.763401627841706,0.401778539668935,0.746268656716418,0.51076870690389,0.566693924824758,0.291331228038963,0.12890894903112,0.421154634564496,1.08292400779037,0.818905946243527,1.25310722920285,1.00358374558781,0.405470866499614,0.145082985209439,0.919502558219989,0.570045467912322,0.397916281648494,0.736138144432799,0.760112671001317,0.809777311239409,0.583175626832577,0.553308617009325,0.527604776058662,0.619984564313809,0.688015442032317,0.72558582133936,0.211262367031169,0.258928858973946,0.957589235063196,0.441230675830966,1.21447134175039,0.260348680413013,0.647428052583791,1.02137562489226,0.520062092695524,1.55736707628665,0.861480910991308,0.382797064634491,0.534681429101798,0.406540789592556,0.562895482602001,0.555889460545315,0.496659163182906,0.490822992637655,0.756633499170813,0.445326215726296,0.9202280810704,0.255240404556041,0.567496359980587,0.47386670676308,0.857609787546666,0.272656452869385,0.2783641271897,0.584109371904101,0.289391677518855,0.346055637683107,0.523927838392568,0.844978875528112,0.711405024924225,0.641405170712453,0.6859240653077,0.33332222259258,0.412860870983526,2.26070038910506,0.384999666955305,0.425212606303152,0.536637720753244,0.782102582757366,0.468737150845646,1.45617474096892,1.03787201869544,1.54639175257732,1.22207370632041,0.926414911895748,0.657414170927684
Rpl22l1,0.663544770824464,0.432779490722163,0.578973165053302,0.252350847367582,0.395699214668509,0.56486435108492,0.402116770532326,0.323229544555817,0.382848392036753,0.564593165000927,0.631464737793852,0.434145366525283,0.28627561044064,0.483473509401618,0.314691602229815,0.703725773956471,0.447691382497717,0.272798707171344,0.355101184931059,0.406246505907346,0.873478867956927,0.116604254717216,0.858106037388906,0.920570429712018,0.373774766316016,0.352263746189455,1.31825713297282,0.66279096070758,0.524394751432268,0.603882816788941,0.561111841030062,0.641073704731199,0.418294495569327,0.466239748342883,0.335748493855512,0.451679793198999,0.459781541635083,0.392530034495064,0.467157628505542,0.429937844191813,0.463666825508483,0.457492248650289,0.173934396038388,0.267294505373434,0.323714026291895,0.754180313739011,0.537230579937192,0.608346514174474,0.4668647082554,0.458650860852385,0.488534362216308,0.551088625892131,0.427024159215311,0.51598712152008,0.382320363025691,0.642908990356365,0.577839966832504,0.418206991050656,0.471405182634223,0.451988216401323,0.585869791305554,0.437871062691654,0.438550459540909,0.360296027005972,0.573547839103853,0.534971270061423,0.669482941772277,0.366214218519016,0.574340138993915,1.03997400064998,0.47093008692167,0.310834813499112,0.434740604772486,0.529982333922203,0.582082857608873,0.389105058365759,0.253113967894491,0.404202101050525,0.36101083032491,0.354674427064387,0.679805926372632,0.504060487258471,0.57735926867826,0.347978796058408,0.496467443192668,0.32783410069695,0.456537618699781
Rpl39l,0,0.00253978574367466,0,0.000885441569710815,0.00539283427146179,0,0.00174076524039968,0.00515791826418857,0,0.00570296126263562,0.000723327305605787,0.0544069640914037,0,0.0147318797878609,0,0,0.000636377231695404,0,0.00103127159224896,0.0111810964928627,0.00180750929737595,0,0,0,0.00119607925221125,0,2.35884270133464,0,0,0,0,0,0,0.00280867318278845,0.000726728341678597,0.00348697730210241,0.00248530563045991,0,0.00148776314810682,0.00128820327847734,0,0.00542052427310769,0.00204628701221633,0,0.0157909281117998,0.00430960179279435,0,0,0.00256720577988044,0.000882020886254586,0.000346970427710446,0,0,0,0,0,0,0.00285465522901472,0,0.0074445117995512,0,0,0.0247387438715384,0.00324591015320696,0.0058868546535586,0.0507232019021201,0.0211750007940625,0.00335976347265153,0,0,0,0,0,0.0033332222259258,0,0,0,0.00100050025012506,0.0195140989364816,0,0.00548230585784381,0,0,0,0,0.111199541813259,0
Rps4l,0.0295161061444586,0.0848288438387338,0.0490136012743536,0.0274486886610353,0.078196096936196,0.0298726339516063,0.0208891828847962,0.0232106321888486,0.0861408882082695,0.0969503414648056,0.0289330922242315,0.0494104061646421,0.0112264945270839,0.0441956393635828,0.0179823772702751,0.0567520785448767,0.123138994333061,0.0237216267105517,0.00550011515866113,0.0447243859714509,0.345460214460978,0.0122338890195111,0.11237102870569,0.674905007120248,0.0023921585044225,0.00790335327989161,0.755630815170882,0.0294071074716674,0.0496673442986509,0.0636322802814793,0.0897266222092617,0.202444327809852,0.086095566078347,0.030895405010673,0.121363633060326,0.00534669852989037,0.0265099267249057,0.0356845485904603,0.0178531577772819,0.00998357540819941,0.115727608976832,0.0303549359294031,0.0133008655794062,0.0620334022327235,0.284236706012396,0.400792966729874,0.0329062672131968,0.425842559922132,0.0495103971834085,0.040572960767711,0.10131536489145,0.117445116993405,0.0711706932025518,0.0211981176071565,0.157215850216172,0.0950537485741938,0.228026533996683,0.0713663807253679,0.115734206514989,0.0707228620957364,0.00797337585800458,0.00820153915551485,0.0532257822690676,0.0454427421448974,0.0407874929567989,0.0578561521696057,0.0324683345508959,0.0403171616718183,0.115228115660221,0.194995125121872,0.0701385235840786,0.120880205249655,0.154574437252439,0.0366654444851838,0.0193687816016963,0,0.00532871511356824,0.0260130065032516,0.107327544150649,0.0272826482357221,0.0712699761519695,0.0560067208064968,0.0824798955254657,0.0292692445282773,0.152759213290052,0.449261025118452,0.109569028487947
Fau,0.700439903505038,0.931085453631132,0.773495895110893,1.42290460252528,0.956553978900536,0.738668766803357,1.18720189395258,1.38748001306673,1.55053598774885,0.873978813498909,1.31645569620253,0.885501099242744,1.90289082234072,0.912037285048481,0.938080680932686,0.576033597230499,0.604240181494786,1.67089208142448,1.1141170768263,1.12183668145056,0.838910252644612,1.05211445567796,0.61633806653727,0.645209186806957,1.17155962754092,1.51349215309924,1.38653702590994,0.816612753636302,0.708625947144705,0.736138144432799,0.940206819864192,0.922246382244883,0.590485627726021,0.851027974384901,0.866986911622566,0.641836288740318,0.69257183568816,1.11811585583442,1.30625604403779,1.22379311455348,1.09373936327123,0.774050866199779,0.800098221776586,1.17192832866686,0.848762386009238,1.10325805895535,0.677439892410813,1.1558583769315,0.619063336634026,0.69415043748236,0.565214826740317,1.54485500045171,0.593951785090387,0.753156649101325,1.07549933897881,0.879679236804811,0.855099502487562,1.05479510712094,0.462936826059956,0.74126067489817,0.795950911738196,0.763198782527077,0.818627524476363,1.14580628408206,0.81322692142731,0.68317812561918,0.808532113653287,0.886977556780003,1.58258615102085,1.20246993825154,0.834147441196363,0.897967238997434,0.53134962805526,1.64327855738142,0.918488011743598,0.680933852140078,0.904549390528209,1.05352676338169,1.38550102449019,0.973081120407421,1.61179792220608,1.42817138056567,1.23376177056842,1.31711600377248,1.50849723123926,0.758685837120564,1.09569028487947
Rack1,0.64481339577125,0.468336491133608,0.834762896703835,0.61980909879757,0.649836529711146,0.689786274882546,0.577934059812694,0.622388803878755,0.6604134762634,0.538929839319066,0.788426763110307,0.470786791321534,0.420993544765647,0.632131569079124,0.602409638554217,0.539144746176329,0.543466155867875,0.545597414342689,0.48401013396218,0.611233274943163,1.0406734779642,0.951949489330711,0.95345115265434,0.520351760489711,0.552588614521598,0.435248955628317,0.133828590156771,0.529327934490013,0.492630752171502,0.650047412287269,0.735117397671594,0.547349478893304,0.652214524159553,0.822941242557016,0.595190511834771,0.752257236640228,0.733993596195826,0.76127036992982,0.605519601279476,0.530739750732666,0.735967081924558,0.635285444808222,0.567844645890033,0.475429742980525,0.465832379298093,0.659369074297535,0.751836670458041,0.70568195644239,0.937030109656361,0.579487722269263,0.632527089716143,0.433643508898726,0.637948213615601,0.738442661585769,0.600278700825383,0.703397739449034,0.634846600331675,0.47530009563095,0.673234347654265,0.508353805740782,0.55362961935797,0.571829535565063,0.431803529394126,0.597247468190081,0.493234322044589,0.576976421636616,0.51808168609473,0.685391748420911,0.412300601346729,0.519987000324992,0.528543874151449,0.48105387803434,0.589315042024925,0.839972000933302,0.503588321644104,0.501945525291829,0.674082461866382,0.479239619809905,0.736657234852181,0.800291014914514,1.03067350127464,0.60207224866984,0.57735926867826,0.482942534716576,0.611036853160206,1.00302730525204,0.273922571219869
